date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:08:04	20511/20511	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jun%202017%2001:08:04%20GMT	http://www.kanjidamage.com/kanji/1-one-line-radical-%e4%b8%80	C:/Users/grenz/Downloads/KanjiDamage/www.kanjidamage.com/kanji/1-one-line-radical-%e4%b8%80.html	(from http://www.kanjidamage.com/kanji)
21:08:05	13940/13940	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jun%202017%2001:08:05%20GMT	http://www.kanjidamage.com/kanji/2-two-%e4%ba%8c	C:/Users/grenz/Downloads/KanjiDamage/www.kanjidamage.com/kanji/2-two-%e4%ba%8c.html	(from http://www.kanjidamage.com/kanji)
21:08:06	12688/12688	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jun%202017%2001:08:05%20GMT	http://www.kanjidamage.com/kanji/3-three-%e4%b8%89	C:/Users/grenz/Downloads/KanjiDamage/www.kanjidamage.com/kanji/3-three-%e4%b8%89.html	(from http://www.kanjidamage.com/kanji)
21:08:06	14018/14018	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jun%202017%2001:08:06%20GMT	http://www.kanjidamage.com/kanji/4-total-%e4%ba%86	C:/Users/grenz/Downloads/KanjiDamage/www.kanjidamage.com/kanji/4-total-%e4%ba%86.html	(from http://www.kanjidamage.com/kanji)
21:08:07	17573/17573	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jun%202017%2001:08:07%20GMT	http://www.kanjidamage.com/kanji/5-child-%e5%ad%90	C:/Users/grenz/Downloads/KanjiDamage/www.kanjidamage.com/kanji/5-child-%e5%ad%90.html	(from http://www.kanjidamage.com/kanji)
21:08:07	17670/17670	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jun%202017%2001:08:07%20GMT	http://www.kanjidamage.com/kanji/6-woman-%e5%a5%b3	C:/Users/grenz/Downloads/KanjiDamage/www.kanjidamage.com/kanji/6-woman-%e5%a5%b3.html	(from http://www.kanjidamage.com/kanji)
21:08:08	14417/14417	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jun%202017%2001:08:08%20GMT	http://www.kanjidamage.com/kanji/7-like-%e5%a5%bd	C:/Users/grenz/Downloads/KanjiDamage/www.kanjidamage.com/kanji/7-like-%e5%a5%bd.html	(from http://www.kanjidamage.com/kanji)
21:08:09	13801/13801	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jun%202017%2001:08:09%20GMT	http://www.kanjidamage.com/kanji/8-rape-%e5%a7%a6	C:/Users/grenz/Downloads/KanjiDamage/www.kanjidamage.com/kanji/8-rape-%e5%a7%a6.html	(from http://www.kanjidamage.com/kanji)
21:08:10	23168/23168	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jun%202017%2001:08:09%20GMT	http://www.kanjidamage.com/kanji/9-mouth-small-box-radical-%e5%8f%a3	C:/Users/grenz/Downloads/KanjiDamage/www.kanjidamage.com/kanji/9-mouth-small-box-radical-%e5%8f%a3.html	(from http://www.kanjidamage.com/kanji)
21:08:10	14987/14987	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jun%202017%2001:08:10%20GMT	http://www.kanjidamage.com/kanji/10-products-%e5%93%81	C:/Users/grenz/Downloads/KanjiDamage/www.kanjidamage.com/kanji/10-products-%e5%93%81.html	(from http://www.kanjidamage.com/kanji)
21:08:11	18778/18778	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jun%202017%2001:08:11%20GMT	http://www.kanjidamage.com/kanji/11-say-%e8%a8%80	C:/Users/grenz/Downloads/KanjiDamage/www.kanjidamage.com/kanji/11-say-%e8%a8%80.html	(from http://www.kanjidamage.com/kanji)
21:08:11	14177/14177	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jun%202017%2001:08:11%20GMT	http://www.kanjidamage.com/kanji/12-below-%e4%b8%8b	C:/Users/grenz/Downloads/KanjiDamage/www.kanjidamage.com/kanji/12-below-%e4%b8%8b.html	(from http://www.kanjidamage.com/kanji)
